2024-09-07,6680
2024-09-09,6660
2024-09-12,6570
2024-09-13,6540
2024-09-14,6530
2024-09-15,6555
2024-09-16,6510
2024-09-17,6565
2024-09-18,6515
2024-09-19,6505
2024-09-20,6460
2024-09-21,6550
2024-09-22,6510
2024-09-23,6540
2024-09-24,6475
2024-09-25,6440
2024-09-26,6440
2024-09-27,6420
2024-09-28,6440
2024-09-29,6425
2024-09-30,6475
2024-10-06,6500
2024-10-07,6485
2024-10-08,6495
2024-10-09,6470
2024-10-10,6520
2024-10-11,6410
2024-10-12,6490
2024-10-13,6515
2024-10-14,6305
2024-10-15,6410
2024-10-16,6285
2024-10-17,6420
2024-10-18,6460
2024-10-19,6275
2024-10-20,6305
2024-10-21,6355
2024-10-22,6305
2024-10-23,6460
2024-10-24,6385
2024-10-25,6550
2024-10-26,6340
2024-10-27,6480
2024-10-28,6460
2024-10-29,6325
2024-10-30,6405
2024-10-31,6450
2024-11-01,6350
2024-11-02,6280
